344,"Cologne Bonn Airport","Cologne","Germany","CGN","EDDK",50.8658981323,7.1427397728,302,1,"E","Europe/Berlin","airport","OurAirports"
345,"Düsseldorf International Airport","Duesseldorf","Germany","DUS","EDDL",51.28950119018555,6.766779899597168,147,1,"E","Europe/Berlin","airport","OurAirports"
346,"Munich International Airport","Munich","Germany","MUC","EDDM",48.353801727295,11.786100387573,1487,1,"E","Europe/Berlin","airport","OurAirports"
347,"Nuremberg Airport","Nuernberg","Germany","NUE","EDDN",49.498699,11.0780556,1046,1,"E","Europe/Berlin","airport","OurAirports"
348,"Leipzig Halle Airport","Leipzig","Germany","LEJ","EDDP",51.4238889,12.2363889,465,1,"E","Europe/Berlin","airport","OurAirports"
349,"Saarbrücken Airport","Saarbruecken","Germany","SCN","EDDR",49.214599609400004,7.10950994492,1058,1,"E","Europe/Berlin","airport","OurAirports"
350,"Stuttgart Airport","Stuttgart","Germany","STR","EDDS",48.689899444599995,9.22196006775,1276,1,"E","Europe/Berlin","airport","OurAirports"
351,"Berlin-Tegel International Airport","Berlin","Germany","TXL","EDDT",52.5597000122,13.2876996994,122,1,"E","Europe/Berlin","airport","OurAirports"
352,"Hannover Airport","Hannover","Germany","HAJ","EDDV",52.461101532,9.685079574580001,183,1,"E","Europe/Berlin","airport","OurAirports"
353,"Bremen Airport","Bremen","Germany","BRE","EDDW",53.0475006104,8.78666973114,14,1,"E","Europe/Berlin","airport","OurAirports"
354,"Frankfurt-Egelsbach Airport","Egelsbach","Germany","QEF","EDFE",49.959999084472656,8.645833015441895,384,1,"E","Europe/Berlin","airport","OurAirports"
355,"Frankfurt-Hahn Airport","Hahn","Germany","HHN","EDFH",49.948699951200005,7.263889789579999,1649,1,"E","Europe/Berlin","airport","OurAirports"
356,"Mannheim-City Airport","Mannheim","Germany","MHG","EDFM",49.47305679321289,8.514166831970215,308,1,"E","Europe/Berlin","airport","OurAirports"
357,"Allendorf/Eder Airport","Allendorf","Germany",\N,"EDFQ",51.03499984741211,8.680832862854004,1158,1,"E","Europe/Berlin","airport","OurAirports"
358,"Worms Airport","Worms","Germany",\N,"EDFV",49.606945,8.368333,295,1,"E","Europe/Berlin","airport","OurAirports"
359,"Mainz-Finthen Airport","Mainz","Germany",\N,"EDFZ",49.967499,8.147222,525,1,"E","Europe/Berlin","airport","OurAirports"
360,"Eisenach-Kindel Airport","Eisenach","Germany",\N,"EDGE",50.991604,10.47973,1112,1,"E","Europe/Berlin","airport","OurAirports"
361,"Siegerland Airport","Siegerland","Germany",\N,"EDGS",50.707698822021484,8.082969665527344,1966,1,"E","Europe/Berlin","airport","OurAirports"
362,"Hamburg-Finkenwerder Airport","Hamburg","Germany","XFW","EDHI",53.5352783203125,9.835556030273438,23,1,"E","Europe/Berlin","airport","OurAirports"
363,"Kiel-Holtenau Airport","Kiel","Germany","KEL","EDHK",54.37944412231445,10.145277976989746,102,1,"E","Europe/Berlin","airport","OurAirports"
364,"Lübeck Blankensee Airport","Luebeck","Germany","LBC","EDHL",53.8054008484,10.7192001343,53,1,"E","Europe/Berlin","airport","OurAirports"
365,"Flugplatz Dahlemer Binz","Dahlemer Binz","Germany",\N,"EDKV",50.405555725,6.5288891792,1896,1,"E","Europe/Berlin","airport","OurAirports"
366,"Meinerzhagen Airport","Meinerzhagen","Germany",\N,"EDKZ",51.099998474121094,7.599999904632568,1549,1,"E","Europe/Berlin","airport","OurAirports"
367,"Arnsberg-Menden Airport","Arnsberg","Germany","ZCA","EDLA",51.483890533447266,7.8983330726623535,794,1,"E","Europe/Berlin","airport","OurAirports"
368,"Essen Mulheim Airport","Essen","Germany","ESS","EDLE",51.40230178833008,6.9373297691345215,424,1,"E","Europe/Berlin","airport","OurAirports"
369,"Bielefeld Airport","Bielefeld","Germany",\N,"EDLI",51.9647216797,8.544444084170001,433,1,"E","Europe/Berlin","airport","OurAirports"
370,"Mönchengladbach Airport","Moenchengladbach","Germany","MGL","EDLN",51.23027801513672,6.504444122314453,125,1,"E","Europe/Berlin","airport","OurAirports"
371,"Paderborn Lippstadt Airport","Paderborn","Germany","PAD","EDLP",51.614101409899995,8.616319656369999,699,1,"E","Europe/Berlin","airport","OurAirports"
372,"Stadtlohn-Vreden Airport","Stadtlohn","Germany",\N,"EDLS",51.99583435058594,6.8405561447143555,157,1,"E","Europe/Berlin","airport","OurAirports"
373,"Dortmund Airport","Dortmund","Germany","DTM","EDLW",51.51829910279999,7.61223983765,425,1,"E","Europe/Berlin","airport","OurAirports"
374,"Augsburg Airport","Augsburg","Germany","AGB","EDMA",48.425278,10.931667,1516,1,"E","Europe/Berlin","airport","OurAirports"
375,"Biberach a.d. Riß Airport","Biberach","Germany",\N,"EDMB",48.11111068725586,9.762778282165527,1903,1,"E","Europe/Berlin","airport","OurAirports"
376,"Eggenfelden Airport","Eggenfelden","Germany",\N,"EDME",48.39611053466797,12.723610877990723,1342,1,"E","Europe/Berlin","airport","OurAirports"
377,"Mindelheim-Mattsies Airport","Mindelheim","Germany",\N,"EDMN",48.1069450378418,10.524999618530273,1857,1,"E","Europe/Berlin","airport","OurAirports"
378,"Oberpfaffenhofen Airport","Oberpfaffenhofen","Germany","OBF","EDMO",48.08140182495117,11.283100128173828,1947,1,"E","Europe/Berlin","airport","OurAirports"
379,"Straubing Airport","Straubing","Germany","RBM","EDMS",48.90083312988281,12.516667366027832,1047,1,"E","Europe/Berlin","airport","OurAirports"
380,"Vilshofen Airport","Vilshofen","Germany",\N,"EDMV",48.6349983215332,13.195555686950684,991,1,"E","Europe/Berlin","airport","OurAirports"
381,"Leutkirch-Unterzeil Airport","Leutkirch","Germany",\N,"EDNL",47.858890533447266,10.014166831970215,2100,1,"E","Europe/Berlin","airport","OurAirports"
382,"Friedrichshafen Airport","Friedrichshafen","Germany","FDH","EDNY",47.671298980699994,9.51148986816,1367,1,"E","Europe/Berlin","airport","OurAirports"
383,"Schwerin Parchim Airport","Parchim","Germany","SZW","EDOP",53.426998,11.7834,166,1,"E","Europe/Berlin","airport","OurAirports"
384,"Stendal-Borstel Airport","Stendal","Germany","ZSN","EDOV",52.62888717651367,11.818611145019531,184,1,"E","Europe/Berlin","airport","OurAirports"
385,"Aalen-Heidenheim/Elchingen Airport","Aalen-heidenheim","Germany",\N,"EDPA",48.77777862548828,10.264721870422363,1916,1,"E","Europe/Berlin","airport","OurAirports"
386,"Bayreuth Airport","Bayreuth","Germany","BYU","EDQD",49.98500061035156,11.640000343322754,1601,1,"E","Europe/Berlin","airport","OurAirports"
387,"Burg Feuerstein Airport","Burg Feuerstein","Germany",\N,"EDQE",49.794166564941,11.133610725403,1673,1,"E","Europe/Berlin","airport","OurAirports"
388,"Hof-Plauen Airport","Hof","Germany","HOQ","EDQM",50.288612365722656,11.856389045715332,1959,1,"E","Europe/Berlin","airport","OurAirports"
389,"Haßfurt-Schweinfurt Airport","Hassfurt","Germany",\N,"EDQT",50.0180549621582,10.529443740844727,719,1,"E","Europe/Berlin","airport","OurAirports"
390,"Koblenz-Winningen Airport","Koblenz","Germany","ZNV","EDRK",50.325557708740234,7.528611183166504,640,1,"E","Europe/Berlin","airport","OurAirports"
391,"Trier-Föhren Airport","Trier","Germany","ZQF","EDRT",49.863887786865234,6.787499904632568,666,1,"E","Europe/Berlin","airport","OurAirports"
392,"Speyer Airport","Speyer","Germany","ZQC","EDRY",49.30472183227539,8.45138931274414,312,1,"E","Europe/Berlin","airport","OurAirports"
393,"Zweibrücken Airport","Zweibruecken","Germany","ZQW","EDRZ",49.20940017700195,7.400559902191162,1132,1,"E","Europe/Berlin","airport","OurAirports"
394,"Donaueschingen-Villingen Airport","Donaueschingen","Germany","ZQL","EDTD",47.97333145139999,8.52222156525,2231,1,"E","Europe/Berlin","airport","OurAirports"
395,"Freiburg i. Br. Airport","Freiburg","Germany",\N,"EDTF",48.022777557400005,7.83249998093,801,1,"E","Europe/Berlin","airport","OurAirports"
396,"Mengen-Hohentengen Airport","Mengen","Germany",\N,"EDTM",48.053890228271484,9.372777938842773,1818,1,"E","Europe/Berlin","airport","OurAirports"
397,"Adolf Würth Airport","Schwaebisch Hall","Germany",\N,"EDTY",49.1183319092,9.783888816829998,1299,1,"E","Europe/Berlin","airport","OurAirports"
398,"Finsterwalde/Schacksdorf Airport","Soest","Germany",\N,"EDUS",51.607498,13.743611,384,1,"E","Europe/Berlin","airport","OurAirports"
399,"Braunschweig Wolfsburg Airport","Braunschweig","Germany","BWE","EDVE",52.319199,10.5561,295,1,"E","Europe/Berlin","airport","OurAirports"
400,"Kassel-Calden Airport","Kassel","Germany","KSF","EDVK",51.417273,9.384967,820,1,"E","Europe/Berlin","airport","OurAirports"
401,"Hildesheim Airport","Hildesheim","Germany",\N,"EDVM",52.18138885498047,9.946389198303223,292,1,"E","Europe/Berlin","airport","OurAirports"
402,"Bremerhaven Airport","Bremerhaven","Germany","BRV","EDWB",53.506943,8.572778,10,1,"E","Europe/Berlin","airport","OurAirports"
403,"Emden Airport","Emden","Germany","EME","EDWE",53.391109466552734,7.227499961853027,3,1,"E","Europe/Berlin","airport","OurAirports"
404,"Leer-Papenburg Airport","Leer","Germany",\N,"EDWF",53.271942138671875,7.441667079925537,3,1,"E","Europe/Berlin","airport","OurAirports"
405,"Wilhelmshaven-Mariensiel Airport","Wilhelmshaven","Germany","WVN","EDWI",53.502220153808594,8.05222225189209,16,1,"E","Europe/Berlin","airport","OurAirports"
406,"Borkum Airport","Borkum","Germany","BMK","EDWR",53.5963897705,6.70916700363,3,1,"E","Europe/Berlin","airport","OurAirports"
407,"Norderney Airport","Norderney","Germany","NRD","EDWY",53.70694351196289,7.230000019073486,7,1,"E","Europe/Berlin","airport","OurAirports"
408,"Flensburg-Schäferhaus Airport","Flensburg","Germany","FLF","EDXF",54.77333450317383,9.378889083862305,131,1,"E","Europe/Berlin","airport","OurAirports"
409,"Rendsburg-Schachtholm Airport","Rendsburg","Germany",\N,"EDXR",54.220001220703125,9.599444389343262,23,1,"E","Europe/Berlin","airport","OurAirports"
410,"Westerland Sylt Airport","Westerland","Germany","GWT","EDXW",54.9132003784,8.34047031403,51,1,"E","Europe/Berlin","airport","OurAirports"
750,"Spangdahlem Air Base","Spangdahlem","Germany","SPM","ETAD",49.9726982117,6.69250011444,1197,1,"E","Europe/Berlin","airport","OurAirports"
751,"Ramstein Air Base","Ramstein","Germany","RMS","ETAR",49.4369010925293,7.600279808044434,776,1,"E","Europe/Berlin","airport","OurAirports"
753,"[Duplicate] Giebelstadt Army Air Field","Giebelstadt","Germany","GHF","ETEU",49.648101806599996,9.966489791870002,980,1,"E","Europe/Berlin","airport","OurAirports"
754,"Bückeburg Air Base","Brueckeburg","Germany",\N,"ETHB",52.2785,9.08217,230,1,"E","Europe/Berlin","airport","OurAirports"
755,"Celle Airport","Celle","Germany","ZCN","ETHC",52.59120178222656,10.022100448608398,129,1,"E","Europe/Berlin","airport","OurAirports"
756,"Rheine Bentlage Air Base","Rheine-brentlange","Germany",\N,"ETHE",52.291199,7.387,129,1,"E","Europe/Berlin","airport","OurAirports"
757,"Fritzlar Airport","Fritzlar","Germany",\N,"ETHF",51.1146,9.286,1345,1,"E","Europe/Berlin","airport","OurAirports"
758,"Laupheim Air Base","Laupheim","Germany",\N,"ETHL",48.220299,9.91002,1766,1,"E","Europe/Berlin","airport","OurAirports"
759,"Mendig Airport","Mendig","Germany",\N,"ETHM",50.3660011292,7.31533002853,597,1,"E","Europe/Berlin","airport","OurAirports"
760,"Niederstetten Army Air Base","Niederstetten","Germany",\N,"ETHN",49.391945,9.958889,1339,1,"E","Europe/Berlin","airport","OurAirports"
761,"Roth Airport","Roth","Germany",\N,"ETHR",49.217498779296875,11.100199699401855,1268,1,"E","Europe/Berlin","airport","OurAirports"
762,"Fassberg Air Base","Fassberg","Germany",\N,"ETHS",52.919399,10.185827,245,1,"E","Europe/Berlin","airport","OurAirports"
763,"Grafenwohr Army Air Field","Grafenwoehr","Germany",\N,"ETIC",49.698699951171875,11.940199851989746,1363,1,"E","Europe/Berlin","airport","OurAirports"
764,"Hanau Army Air Field","Hanau","Germany","ZNF","ETID",50.169201,8.96159,368,1,"E","Europe/Berlin","airport","OurAirports"
765,"Hohenfels Army Air Field","Hohenfels","Germany",\N,"ETIH",49.218101501464844,11.836099624633789,1455,1,"E","Europe/Berlin","airport","OurAirports"
766,"Kitzingen Army Air Field","Kitzingen","Germany",\N,"ETIN",49.743099212646484,10.200599670410156,689,1,"E","Europe/Berlin","airport","OurAirports"
767,"Nordholz Naval Airbase","Nordholz","Germany",\N,"ETMN",53.7677001953,8.658499717709999,74,1,"E","Europe/Berlin","airport","OurAirports"
768,"Diepholz Air Base","Diepholz","Germany",\N,"ETND",52.585556,8.342222,128,1,"E","Europe/Berlin","airport","OurAirports"
769,"Geilenkirchen Air Base","Geilenkirchen","Germany","GKE","ETNG",50.9608,6.04242,296,1,"E","Europe/Berlin","airport","OurAirports"
770,"Hohn Airport","Hohn","Germany",\N,"ETNH",54.312198638916016,9.538169860839844,39,1,"E","Europe/Berlin","airport","OurAirports"
771,"Jever Air Base","Jever","Germany",\N,"ETNJ",53.533501,7.88867,24,1,"E","Europe/Berlin","airport","OurAirports"
772,"Rostock-Laage Airport","Laage","Germany","RLG","ETNL",53.9182014465,12.278300285299999,138,1,"E","Europe/Berlin","airport","OurAirports"
773,"Nörvenich Air Base","Noervenich","Germany",\N,"ETNN",50.8312,6.65817,386,1,"E","Europe/Berlin","airport","OurAirports"
774,"Schleswig Air Base","Schleswig","Germany",\N,"ETNS",54.459301,9.51633,70,1,"E","Europe/Berlin","airport","OurAirports"
775,"Wittmundhafen Airport","Wittmundhafen","Germany",\N,"ETNT",53.54779815673828,7.667329788208008,26,1,"E","Europe/Berlin","airport","OurAirports"
777,"Wunstorf Air Base","Wunstorf","Germany",\N,"ETNW",52.457298,9.42717,187,1,"E","Europe/Berlin","airport","OurAirports"
778,"Vilseck Army Air Field","Vilseck","Germany",\N,"ETOI",49.63359832763672,11.767200469970703,1353,1,"E","Europe/Berlin","airport","OurAirports"
779,"Coleman Army Air Field","Coleman","Germany",\N,"ETOR",49.5635986328125,8.463390350341797,309,1,"E","Europe/Berlin","airport","OurAirports"
780,"Wiesbaden Army Airfield","Wiesbaden","Germany",\N,"ETOU",50.049800872802734,8.325400352478027,461,1,"E","Europe/Berlin","airport","OurAirports"
781,"Landsberg Lech Air Base","Landsberg","Germany",\N,"ETSA",48.070599,10.906,2044,1,"E","Europe/Berlin","airport","OurAirports"
782,"Büchel Air Base","Buechel","Germany",\N,"ETSB",50.1738014221,7.06333017349,1568,1,"E","Europe/Berlin","airport","OurAirports"
783,"Erding Airport","Erding","Germany",\N,"ETSE",48.32229995727539,11.948699951171875,1515,1,"E","Europe/Berlin","airport","OurAirports"
784,"Fürstenfeldbruck Airport","Fuerstenfeldbruck","Germany","FEL","ETSF",48.2055549621582,11.26694393157959,1703,1,"E","Europe/Berlin","airport","OurAirports"
785,"Holzdorf Air Base","Holzdorf","Germany",\N,"ETSH",51.767799,13.1677,265,1,"E","Europe/Berlin","airport","OurAirports"
786,"Ingolstadt Manching Airport","Ingolstadt","Germany","IGS","ETSI",48.7156982421875,11.534000396728516,1202,1,"E","Europe/Berlin","airport","OurAirports"
787,"Lechfeld Airport","Lechfeld","Germany",\N,"ETSL",48.18550109863281,10.861200332641602,1822,1,"E","Europe/Berlin","airport","OurAirports"
788,"Neuburg AFB","Neuburg","Germany",\N,"ETSN",48.710999,11.2115,1249,1,"E","Europe/Berlin","airport","OurAirports"
789,"Gütersloh Air Base","Guetersloh","Germany","GUT","ETUO",51.922798,8.30633,236,1,"E","Europe/Berlin","airport","OurAirports"
1051,"Fuerteventura Airport","Fuerteventura","Spain","FUE","GCFV",28.452699661254883,-13.863800048828125,85,0,"E","Atlantic/Canary","airport","OurAirports"
1052,"Hierro Airport","Hierro","Spain","VDE","GCHI",27.814800262451172,-17.887100219726562,103,0,"E","Atlantic/Canary","airport","OurAirports"
1053,"La Palma Airport","Santa Cruz De La Palma","Spain","SPC","GCLA",28.62649917602539,-17.755599975585938,107,0,"E","Atlantic/Canary","airport","OurAirports"
1054,"Gran Canaria Airport","Gran Canaria","Spain","LPA","GCLP",27.931900024414062,-15.38659954071045,78,0,"E","Atlantic/Canary","airport","OurAirports"
1055,"Lanzarote Airport","Arrecife","Spain","ACE","GCRR",28.945499420166016,-13.605199813842773,46,0,"E","Atlantic/Canary","airport","OurAirports"
1056,"Tenerife South Airport","Tenerife","Spain","TFS","GCTS",28.044500351,-16.5725002289,209,0,"E","Atlantic/Canary","airport","OurAirports"
1057,"Tenerife Norte Airport","Tenerife","Spain","TFN","GCXO",28.4827003479,-16.3414993286,2076,0,"E","Atlantic/Canary","airport","OurAirports"
1058,"Melilla Airport","Melilla","Spain","MLN","GEML",35.279800415,-2.9562599659,156,1,"E","Europe/Madrid","airport","OurAirports"
1211,"Albacete-Los Llanos Airport","Albacete","Spain",\N,"LEAB",38.9485015869,-1.8635200262099998,2302,1,"E","Europe/Madrid","airport","OurAirports"
1212,"Alicante International Airport","Alicante","Spain","ALC","LEAL",38.28219985961914,-0.5581560134887695,142,1,"E","Europe/Madrid","airport","OurAirports"
1213,"Almería International Airport","Almeria","Spain","LEI","LEAM",36.84389877319336,-2.3701000213623047,70,1,"E","Europe/Madrid","airport","OurAirports"
1214,"Asturias Airport","Aviles","Spain","OVD","LEAS",43.5635986328125,-6.0346198081970215,416,1,"E","Europe/Madrid","airport","OurAirports"
1215,"Córdoba Airport","Cordoba","Spain","ODB","LEBA",37.84199905395508,-4.848879814147949,297,1,"E","Europe/Madrid","airport","OurAirports"
1216,"Bilbao Airport","Bilbao","Spain","BIO","LEBB",43.30110168457031,-2.9106099605560303,138,1,"E","Europe/Madrid","airport","OurAirports"
1218,"Barcelona International Airport","Barcelona","Spain","BCN","LEBL",41.297100067139,2.0784599781036,12,1,"E","Europe/Madrid","airport","OurAirports"
1219,"Badajoz Airport","Badajoz","Spain","BJZ","LEBZ",38.891300201416016,-6.8213300704956055,609,1,"E","Europe/Madrid","airport","OurAirports"
1220,"A Coruña Airport","La Coruna","Spain","LCG","LECO",43.302101135253906,-8.377260208129883,326,1,"E","Europe/Madrid","airport","OurAirports"
1221,"Armilla Air Base","Granada","Spain",\N,"LEGA",37.1332016,-3.63568997,2297,1,"E","Europe/Madrid","airport","OurAirports"
1222,"Girona Airport","Gerona","Spain","GRO","LEGE",41.901000977,2.7605500221,468,1,"E","Europe/Madrid","airport","OurAirports"
1223,"Federico Garcia Lorca Airport","Granada","Spain","GRX","LEGR",37.18870162963867,-3.777359962463379,1860,1,"E","Europe/Madrid","airport","OurAirports"
1224,"Getafe Air Base","Madrid","Spain",\N,"LEGT",40.29410171508789,-3.723829984664917,2031,1,"E","Europe/Madrid","airport","OurAirports"
1225,"Ibiza Airport","Ibiza","Spain","IBZ","LEIB",38.872898101800004,1.3731199502899998,24,1,"E","Europe/Madrid","airport","OurAirports"
1226,"Jerez Airport","Jerez","Spain","XRY","LEJR",36.744598388671875,-6.060110092163086,93,1,"E","Europe/Madrid","airport","OurAirports"
1227,"San Javier Airport","Murcia","Spain","MJV","LELC",37.775001525878906,-0.8123890161514282,11,1,"E","Europe/Madrid","airport","OurAirports"
1229,"Adolfo Suárez Madrid–Barajas Airport","Madrid","Spain","MAD","LEMD",40.471926,-3.56264,1998,1,"E","Europe/Madrid","airport","OurAirports"
1230,"Málaga Airport","Malaga","Spain","AGP","LEMG",36.67490005493164,-4.499110221862793,53,1,"E","Europe/Madrid","airport","OurAirports"
1231,"Menorca Airport","Menorca","Spain","MAH","LEMH",39.86259841918945,4.218649864196777,302,1,"E","Europe/Madrid","airport","OurAirports"
1232,"Moron Air Base","Sevilla","Spain","OZP","LEMO",37.17490005493164,-5.615940093994141,285,1,"E","Europe/Madrid","airport","OurAirports"
1233,"Ocaña Airport","Ocana","Spain",\N,"LEOC",39.9375,-3.5033299922943115,2405,1,"E","Europe/Madrid","airport","OurAirports"
1234,"Pamplona Airport","Pamplona","Spain","PNA","LEPP",42.77000045776367,-1.6463299989700317,1504,1,"E","Europe/Madrid","airport","OurAirports"
1235,"Alcantarilla Air Base","Murcia","Spain",\N,"LERI",37.951099,-1.23032,250,1,"E","Europe/Madrid","airport","OurAirports"
1236,"Reus Air Base","Reus","Spain","REU","LERS",41.14739990234375,1.1671700477600098,233,1,"E","Europe/Madrid","airport","OurAirports"
1237,"Rota Naval Station Airport","Rota","Spain",\N,"LERT",36.645198822,-6.34946012497,86,1,"E","Europe/Madrid","airport","OurAirports"
1238,"Salamanca Airport","Salamanca","Spain","SLM","LESA",40.95209884643555,-5.501989841461182,2595,1,"E","Europe/Madrid","airport","OurAirports"
1239,"Son Bonet Airport","Son Bonet","Spain",\N,"LESB",39.598899841308594,2.70278000831604,157,1,"E","Europe/Madrid","airport","OurAirports"
1241,"San Luis Airport","San Luis","Spain",\N,"LESL",39.86220169067383,4.25832986831665,197,1,"E","Europe/Madrid","airport","OurAirports"
1242,"San Sebastian Airport","San Sebastian","Spain","EAS","LESO",43.35649871826172,-1.7906099557876587,16,1,"E","Europe/Madrid","airport","OurAirports"
1243,"Santiago de Compostela Airport","Santiago","Spain","SCQ","LEST",42.89630126953125,-8.415140151977539,1213,1,"E","Europe/Madrid","airport","OurAirports"
1244,"Pirineus - la Seu d'Urgel Airport","Seo De Urgel","Spain","LEU","LESU",42.3386,1.40917,2625,1,"E","Europe/Madrid","airport","OurAirports"
1245,"Torrejón Airport","Madrid","Spain","TOJ","LETO",40.496700286865234,-3.4458699226379395,2026,1,"E","Europe/Madrid","airport","OurAirports"
1246,"Valencia Airport","Valencia","Spain","VLC","LEVC",39.48929977416992,-0.4816249907016754,240,1,"E","Europe/Madrid","airport","OurAirports"
1247,"Valladolid Airport","Valladolid","Spain","VLL","LEVD",41.7061004639,-4.85194015503,2776,1,"E","Europe/Madrid","airport","OurAirports"
1249,"Vitoria/Foronda Airport","Vitoria","Spain","VIT","LEVT",42.8828010559082,-2.7244699001312256,1682,1,"E","Europe/Madrid","airport","OurAirports"
1250,"Vigo Airport","Vigo","Spain","VGO","LEVX",42.2318000793457,-8.62677001953125,856,1,"E","Europe/Madrid","airport","OurAirports"
1251,"Santander Airport","Santander","Spain","SDR","LEXJ",43.427101135253906,-3.82000994682312,16,1,"E","Europe/Madrid","airport","OurAirports"
1252,"Zaragoza Air Base","Zaragoza","Spain","ZAZ","LEZG",41.66619873046875,-1.0415500402450562,863,1,"E","Europe/Madrid","airport","OurAirports"
1253,"Sevilla Airport","Sevilla","Spain","SVQ","LEZL",37.417999267578125,-5.8931097984313965,112,1,"E","Europe/Madrid","airport","OurAirports"
1254,"Calais-Dunkerque Airport","Calais","France","CQF","LFAC",50.962100982666016,1.954759955406189,12,1,"E","Europe/Paris","airport","OurAirports"
1255,"Péronne-Saint-Quentin Airport","Peronne","France",\N,"LFAG",49.8685,3.02958,295,1,"E","Europe/Paris","airport","OurAirports"
1256,"Nangis-Les Loges Airport","Nangis","France",\N,"LFAI",48.59619903564453,3.0067899227142334,428,1,"E","Europe/Paris","airport","OurAirports"
1257,"Bagnoles-de-l'Orne-Couterne Airport","Bagnole-de-l'orne","France",\N,"LFAO",48.545799255371094,-0.38744398951530457,718,1,"E","Europe/Paris","airport","OurAirports"
1258,"Albert-Bray Airport","Albert","France",\N,"LFAQ",49.9715003967,2.69765996933,364,1,"E","Europe/Paris","airport","OurAirports"
1259,"Le Touquet-Côte d'Opale Airport","Le Tourquet","France","LTQ","LFAT",50.517398834228516,1.6205899715423584,36,1,"E","Europe/Paris","airport","OurAirports"
1260,"Valenciennes-Denain Airport","Valenciennes","France",\N,"LFAV",50.325801849365234,3.4612600803375244,177,1,"E","Europe/Paris","airport","OurAirports"
1261,"Amiens-Glisy Airport","Amiens","France",\N,"LFAY",49.87300109863281,2.3870699405670166,208,1,"E","Europe/Paris","airport","OurAirports"
